iter	Passed	Remaining
674	1024	493
675	1025	491
676	1027	490
677	1028	488
678	1030	486
679	1031	485
680	1033	483
681	1034	482
682	1036	480
683	1037	479
684	1039	477
685	1040	476
686	1042	474
687	1043	473
688	1045	471
689	1046	470
690	1048	468
691	1049	467
692	1051	465
693	1053	464
694	1054	462
695	1056	461
696	1057	459
697	1058	458
698	1060	456
699	1062	455
700	1063	453
701	1065	452
702	1066	450
703	1068	449
704	1069	447
705	1071	446
706	1072	444
707	1074	443
708	1075	441
709	1077	439
710	1078	438
711	1080	436
712	1081	435
713	1083	433
714	1085	432
715	1086	430
716	1088	429
717	1089	427
718	1091	426
719	1092	424
720	1093	423
721	1095	421
722	1096	420
723	1098	418
724	1100	417
725	1101	415
726	1103	414
727	1104	412
728	1106	411
729	1107	409
730	1109	408
731	1110	406
732	1112	405
733	1113	403
734	1115	402
735	1116	400
736	1118	399
737	1119	397
738	1121	396
739	1122	394
740	1124	393
741	1126	391
742	1127	390
743	1129	388
744	1130	387
745	1132	385
746	1133	384
747	1135	382
748	1136	380
749	1138	379
750	1139	377
751	1141	376
752	1142	374
753	1144	373
754	1145	371
755	1147	370
756	1149	368
757	1150	367
758	1152	365
759	1153	364
760	1155	362
761	1156	361
762	1158	359
763	1159	358
764	1161	356
765	1163	355
766	1164	353
767	1166	352
768	1167	350
769	1169	349
770	1170	347
771	1172	346
772	1173	344
773	1175	343
774	1176	341
775	1178	340
776	1179	338
777	1181	337
778	1182	335
779	1184	334
780	1185	332
781	1187	330
782	1188	329
783	1190	327
784	1191	326
785	1193	324
786	1194	323
787	1196	321
788	1198	320
789	1199	318
790	1201	317
791	1202	315
792	1204	314
793	1205	312
794	1207	311
795	1208	309
796	1210	308
797	1212	306
798	1213	305
799	1215	303
800	1216	302
801	1218	300
802	1219	299
803	1221	297
804	1222	296
805	1224	294
806	1226	293
807	1227	291
808	1228	290
809	1229	288
810	1231	286
811	1232	285
812	1234	283
813	1235	282
814	1237	280
815	1239	279
816	1240	277
817	1242	276
818	1243	274
819	1245	273
820	1247	271
821	1249	270
822	1251	269
823	1253	267
824	1255	266
825	1257	264
826	1258	263
827	1260	261
828	1262	260
829	1264	258
830	1266	257
831	1268	256
832	1269	254
833	1271	253
